customer_id,ticker,purchase_date,shares,cost_basis
CUST001,CYBR,2024-01-15,100,15.74
CUST001,AAA,2024-06-03,50,52.90
CUST002,BBOZ,2024-03-01,200,2.41
CUST002,HACK,2024-08-15,75,10.71
CUST003,A123,2024-04-02,25,132.46
CUST003,ETHI,2024-02-01,150,11.93
CUST002,GGOV,2024-09-10,300,13.80
CUST003,CYBR,2024-02-05,80,10.85
CUST005,BGBL,2024-01-30,55,56.80
CUST005,A200,2024-08-05,8,142.30
CUST003,NDQ,2024-08-20,150,42.20
CUST004,CYBR,2024-02-15,50,16.42
CUST002,GEAR,2024-01-25,125,24.15
CUST002,A200,2024-06-03,20,135.75
CUST004,CYBR,2024-03-20,50,13.73
CUST005,AAA,2024-05-01,30,50.1
CUST005,BBOZ,2024-04-15,100,2.8
CUST005,NDQ,2024-01-09,200,37.50
CUST001,ETHI,2024-02-20,75,12.95
CUST001,BGBL,2024-07-10,40,58.30
CUST001,HACK,2024-04-15,60,11.45
CUST003,BBOZ,2024-11-15,400,23.25
CUST004,A123,2024-03-11,12,128.50
CUST004,ETHI,2024-06-25,90,13.10
CUST004,GEAR,2024-10-08,70,36.40
CUST005,GGOV,2024-12-20,250,13.95
